site,plot_id,plot,genet_id,T1_spring,T2_fall,change,status,action,split_fuse,include
Outlet,OT2,OT_4,95,128.1,151.77,23.67,grew,grow,none,OK
Outlet,OT2,OT_4,96,23.55,34.3,10.75,grew,grow,none,OK
Outlet,OT2,OT_4,98,63.15,73.15,10,grew,grow,none,OK
Outlet,OT2,OT_4,102,99.29,114.84,15.55,grew,grow,none,OK
Outlet,OT2,OT_4,103,34.82,54.5,19.68,grew,grow,none,OK
Outlet,OT2,OT_4,104,25.56,42.75,17.19,grew,grow,none,OK
Outlet,OT2,OT_4,106,34.58,36.39,1.81,grew,grow,none,OK
Outlet,OT2,OT_4,107,57.23,60.12,2.89,grew,grow,none,OK
Outlet,OT2,OT_4,109,61.73,76.74,15.01,grew,grow,none,OK
Outlet,OT2,OT_4,110,99.94,147.7,47.76,grew,grow,n/s,OK
Outlet,OT2,OT_4,111,94.5,111.14,16.64,grew,grow,none,OK
Outlet,OT2,OT_4,112,53.57,72.88,19.31,grew,grow,none,OK
Outlet,OT2,OT_4,113,53.51,71.06,17.55,grew,grow,none,OK
Outlet,OT2,OT_4,115,15.35,26.1,10.75,grew,grow,none,OK
Outlet,OT2,OT_4,117,61.42,87.95,26.53,grew,grow,none,OK
Outlet,OT2,OT_4,118,66.72,79.89,13.17,grew,grow,none,OK
Outlet,OT2,OT_4,119,19.79,33.95,14.16,grew,grow,none,OK
Outlet,OT2,OT_4,120,71.71,83.83,12.12,grew,grow,none,OK
Outlet,OT2,OT_4,125,91.13,110.34,19.21,grew,grow,none,OK
Outlet,OT2,OT_4,128,97.09,128.69,31.6,grew,grow,none,OK
Outlet,OT2,OT_4,129,167.87,208.02,40.15,grew,grow,none,OK
Outlet,OT2,OT_4,130,17.9,31.85,13.95,grew,grow,none,OK
Outlet,OT2,OT_4,131,31.52,36.5,4.98,grew,grow,none,OK
Outlet,OT2,OT_4,137,19.78,39.59,19.81,grew,grow,none,OK
Outlet,OT2,OT_4,139,70.59,94.28,23.69,grew,grow,none,OK
