site,plot_id,plot,genet_id,size,timepoint,change,status
Outlet,OT2,OT_4,189,7.72,spring_2022,NA,NA
Outlet,OT2,OT_4,191,101.13,spring_2022,NA,NA
Outlet,OT2,OT_4,193,66.6,spring_2022,NA,NA
Outlet,OT2,OT_4,194,113.41,spring_2022,NA,NA
Outlet,OT2,OT_4,195,75.05,spring_2022,NA,NA
Outlet,OT2,OT_4,196,30.01,spring_2022,NA,NA
Outlet,OT2,OT_4,197,56.87,spring_2022,NA,NA
Outlet,OT2,OT_4,199,100.05,spring_2022,NA,NA
Outlet,OT2,OT_4,202,18.19,spring_2022,NA,NA
Outlet,OT2,OT_4,204,15.15,spring_2022,NA,NA
Outlet,OT2,OT_4,205,42.63,spring_2022,NA,NA
Outlet,OT2,OT_4,206,109.55,spring_2022,NA,NA
Outlet,OT2,OT_4,207,17.87,spring_2022,NA,NA
Outlet,OT2,OT_4,209,43.73,spring_2022,NA,NA
Outlet,OT2,OT_4,211,17.88,spring_2022,NA,NA
Outlet,OT2,OT_4,212,21.49,spring_2022,NA,NA
Outlet,OT2,OT_4,213,88.04,spring_2022,NA,NA
Outlet,OT2,OT_4,214,23.2,spring_2022,NA,NA
Outlet,OT2,OT_4,216,10.23,spring_2022,NA,NA
Outlet,OT2,OT_4,0,154.79,spring_2022,NA,NA
Outlet,OT2,OT_4,0,154.79,spring_2022,NA,NA
Outlet,OT2,OT_4,169,365.72,spring_2022,NA,NA
Outlet,OT2,OT_4,169,365.72,spring_2022,NA,NA
Outlet,OT2,OT_4,215,3.57,spring_2022,NA,NA
Outlet,OT2,OT_4,215,3.57,spring_2022,NA,NA
Outlet,OT2,OT_4,215,3.57,spring_2022,NA,NA
Outlet,OT2,OT_4,2,83.64,spring_2022,NA,NA
Outlet,OT2,OT_4,37,97.24,spring_2022,NA,NA
Outlet,OT2,OT_4,44,40.24,spring_2022,NA,NA
Outlet,OT2,OT_4,49,120.36,spring_2022,NA,NA
Outlet,OT2,OT_4,70,63.9,spring_2022,NA,NA
Outlet,OT2,OT_4,76,90.46,spring_2022,NA,NA
Outlet,OT2,OT_4,90,85.83,spring_2022,NA,NA
Outlet,OT2,OT_4,97,145.01,spring_2022,NA,NA
Outlet,OT2,OT_4,134,174.25,spring_2022,NA,NA
Outlet,OT2,OT_4,143,23.43,spring_2022,NA,NA
Outlet,OT2,OT_4,144,57.46,spring_2022,NA,NA
Outlet,OT2,OT_4,148,71.57,spring_2022,NA,NA
Outlet,OT2,OT_4,149,96.56,spring_2022,NA,NA
Outlet,OT2,OT_4,150,10.44,spring_2022,NA,NA
Outlet,OT2,OT_4,159,125.13,spring_2022,NA,NA
Outlet,OT2,OT_4,171,76.94,spring_2022,NA,NA
Outlet,OT2,OT_4,190,58.64,spring_2022,NA,NA
Outlet,OT2,OT_4,201,60.58,spring_2022,NA,NA
Outlet,OT2,OT_4,208,50.53,spring_2022,NA,NA
Outlet,OT2,OT_4,210,82.1,spring_2022,NA,NA
Outlet,OT2,OT_4,5,36.1,spring_2022,NA,NA
Outlet,OT2,OT_4,10,60.19,spring_2022,NA,NA
Outlet,OT2,OT_4,23,19.25,spring_2022,NA,NA
Outlet,OT2,OT_4,26,46.93,spring_2022,NA,NA
Outlet,OT2,OT_4,43,44.97,spring_2022,NA,NA
Outlet,OT2,OT_4,58,143.48,spring_2022,NA,NA
Outlet,OT2,OT_4,59,63.54,spring_2022,NA,NA
Outlet,OT2,OT_4,63,236.45,spring_2022,NA,NA
Outlet,OT2,OT_4,63,236.45,spring_2022,NA,NA
Outlet,OT2,OT_4,80,100.39,spring_2022,NA,NA
Outlet,OT2,OT_4,85,185.75,spring_2022,NA,NA
Outlet,OT2,OT_4,88,50.37,spring_2022,NA,NA
Outlet,OT2,OT_4,93,85.49,spring_2022,NA,NA
