site,plot_id,plot,season,scale,rugosity
Outlet,OT2,OT_4,Fall,10cm,1.38757373
Outlet,OT2,OT_4,Fall,10cm,1.381434735
Outlet,OT2,OT_4,Fall,10cm,1.423996317
Outlet,OT2,OT_4,Fall,10cm,1.423871979
Outlet,OT2,OT_4,Fall,10cm,1.414839447
Outlet,OT2,OT_4,Fall,10cm,1.56873898
Outlet,OT2,OT_4,Fall,10cm,1.80470268
Outlet,OT2,OT_4,Fall,10cm,1.633013235
Outlet,OT2,OT_4,Fall,10cm,1.753035665
Outlet,OT2,OT_4,Fall,10cm,1.77994657
Outlet,OT2,OT_4,Fall,10cm,1.497567433
Outlet,OT2,OT_4,Fall,10cm,1.475331567
Outlet,OT2,OT_4,Fall,10cm,1.626427662
Outlet,OT2,OT_4,Fall,10cm,1.548751252
Outlet,OT2,OT_4,Fall,10cm,1.795527899
Outlet,OT2,OT_4,Fall,10cm,1.808632108
Outlet,OT2,OT_4,Fall,10cm,1.682905164
Outlet,OT2,OT_4,Fall,10cm,1.691958934
Outlet,OT2,OT_4,Fall,10cm,1.784134009
Outlet,OT2,OT_4,Fall,10cm,1.749001287
Outlet,OT2,OT_4,Fall,10cm,1.74156774
Outlet,OT2,OT_4,Fall,10cm,1.508007031
Outlet,OT2,OT_4,Fall,10cm,1.937684559
Outlet,OT2,OT_4,Fall,10cm,1.640658705
Outlet,OT2,OT_4,Fall,10cm,1.557529921
Outlet,OT2,OT_4,Fall,10cm,1.75515251
Outlet,OT2,OT_4,Fall,10cm,1.513359356
Outlet,OT2,OT_4,Fall,10cm,1.497350151
Outlet,OT2,OT_4,Fall,10cm,1.443176706
Outlet,OT2,OT_4,Fall,10cm,1.507248967
Outlet,OT2,OT_4,Fall,10cm,1.465138299
Outlet,OT2,OT_4,Fall,10cm,1.481494659
Outlet,OT2,OT_4,Fall,10cm,1.490831998
Outlet,OT2,OT_4,Fall,10cm,1.545773542
Outlet,OT2,OT_4,Fall,10cm,1.57789004
Outlet,OT2,OT_4,Fall,10cm,1.627108982
Outlet,OT2,OT_4,Fall,10cm,1.577719053
Outlet,OT2,OT_4,Fall,10cm,1.573324112
Outlet,OT2,OT_4,Fall,10cm,1.57535358
Outlet,OT2,OT_4,Fall,10cm,1.577976173
Outlet,OT2,OT_4,Fall,10cm,1.558995463
Outlet,OT2,OT_4,Fall,10cm,1.466914973
Outlet,OT2,OT_4,Fall,10cm,1.455270378
Outlet,OT2,OT_4,Fall,10cm,1.495935032
Outlet,OT2,OT_4,Fall,10cm,1.505028902
Outlet,OT2,OT_4,Fall,10cm,1.505704268
Outlet,OT2,OT_4,Fall,10cm,1.466436857
Outlet,OT2,OT_4,Fall,10cm,1.445924409
Outlet,OT2,OT_4,Fall,10cm,1.537571233
Outlet,OT2,OT_4,Fall,10cm,1.44327652
Outlet,OT2,OT_4,Fall,10cm,1.475865753
Outlet,OT2,OT_4,Fall,10cm,1.402954217
Outlet,OT2,OT_4,Fall,10cm,1.492492419
Outlet,OT2,OT_4,Fall,10cm,1.489498722
Outlet,OT2,OT_4,Fall,10cm,1.498850636
