day_night,DateTime,lux,PAR,site
day,2023-07-15 11:30:00 UTC,30311.3,560.75905,Outlet
day,2023-07-15 11:40:00 UTC,12400.1,229.40185,Outlet
day,2023-07-15 11:50:00 UTC,6200,114.7,Outlet
day,2023-07-15 12:00:00 UTC,14466.8,267.6358,Outlet
day,2023-07-15 12:10:00 UTC,22044.6,407.8251,Outlet
day,2023-07-15 12:20:00 UTC,22044.6,407.8251,Outlet
day,2023-07-15 12:30:00 UTC,9644.5,178.42325,Outlet
day,2023-07-15 12:40:00 UTC,2927.8,54.1643,Outlet
day,2023-07-15 12:50:00 UTC,570.5,10.55425,Outlet
day,2023-07-15 13:00:00 UTC,1173.3,21.70605,Outlet
day,2023-07-15 13:10:00 UTC,2238.9,41.41965,Outlet
day,2023-07-15 13:20:00 UTC,4477.8,82.8393,Outlet
day,2023-07-15 13:30:00 UTC,5166.7,95.58395,Outlet
day,2023-07-15 13:40:00 UTC,30311.3,560.75905,Outlet
day,2023-07-15 13:50:00 UTC,23422.4,433.3144,Outlet
day,2023-07-15 14:00:00 UTC,44089.2,815.6502,Outlet
day,2023-07-15 14:10:00 UTC,2755.6,50.9786,Outlet
day,2023-07-15 14:20:00 UTC,7233.4,133.8179,Outlet
day,2023-07-15 14:30:00 UTC,4305.6,79.6536,Outlet
day,2023-07-15 14:40:00 UTC,5338.9,98.76965,Outlet
day,2023-07-15 14:50:00 UTC,4994.5,92.39825,Outlet
day,2023-07-15 15:00:00 UTC,22044.6,407.8251,Outlet
day,2023-07-15 15:10:00 UTC,24800.2,458.8037,Outlet
day,2023-07-15 15:20:00 UTC,7233.4,133.8179,Outlet
day,2023-07-15 15:30:00 UTC,5511.1,101.95535,Outlet
day,2023-07-15 15:40:00 UTC,4133.4,76.4679,Outlet
day,2023-07-15 15:50:00 UTC,3788.9,70.09465,Outlet
day,2023-07-15 16:00:00 UTC,6544.5,121.07325,Outlet
day,2023-07-15 16:10:00 UTC,8266.7,152.93395,Outlet
day,2023-07-15 16:20:00 UTC,6544.5,121.07325,Outlet
day,2023-07-15 16:30:00 UTC,5511.1,101.95535,Outlet
day,2023-07-15 16:40:00 UTC,8266.7,152.93395,Outlet
day,2023-07-15 16:50:00 UTC,2583.4,47.7929,Outlet
