site,plot_id,plot,genet_id,bleach_cat
OT,OT2,OT_4,231,1
OT,OT2,OT_4,102,1
OT,OT2,OT_4,103,1
OT,OT2,OT_4,98,2
OT,OT2,OT_4,96,2
OT,OT2,OT_4,97,2
OT,OT2,OT_4,93,2
OT,OT2,OT_4,94,2
OT,OT2,OT_4,95,2
OT,OT2,OT_4,232,1
OT,OT2,OT_4,233,1
OT,OT2,OT_4,88,1
OT,OT2,OT_4,89,2
OT,OT2,OT_4,90,1
OT,OT2,OT_4,109,1
OT,OT2,OT_4,108,1
OT,OT2,OT_4,107,1
OT,OT2,OT_4,105,1
OT,OT2,OT_4,106,2
OT,OT2,OT_4,111,2
OT,OT2,OT_4,112,2
OT,OT2,OT_4,234,2
OT,OT2,OT_4,113,1
OT,OT2,OT_4,203,1
OT,OT2,OT_4,115,3
OT,OT2,OT_4,119,2
OT,OT2,OT_4,235,1
OT,OT2,OT_4,120,2
OT,OT2,OT_4,118,1
OT,OT2,OT_4,117,1
OT,OT2,OT_4,122,2
OT,OT2,OT_4,124,2
OT,OT2,OT_4,236,2
OT,OT2,OT_4,125,2
OT,OT2,OT_4,126,2
OT,OT2,OT_4,127,2
OT,OT2,OT_4,130,2
OT,OT2,OT_4,128,1
OT,OT2,OT_4,129,1
OT,OT2,OT_4,134,1
OT,OT2,OT_4,237,2
OT,OT2,OT_4,131,2
OT,OT2,OT_4,138,1
OT,OT2,OT_4,238,1
OT,OT2,OT_4,137,1
OT,OT2,OT_4,136,1
OT,OT2,OT_4,239,2
OT,OT2,OT_4,142,1
OT,OT2,OT_4,141,1
OT,OT2,OT_4,140,2
OT,OT2,OT_4,139,1
OT,OT2,OT_4,150,2
OT,OT2,OT_4,151,1
OT,OT2,OT_4,143,1
OT,OT2,OT_4,144,2
OT,OT2,OT_4,149,1
OT,OT2,OT_4,148,2
OT,OT2,OT_4,152,2
OT,OT2,OT_4,147,1
OT,OT2,OT_4,146,1
OT,OT2,OT_4,145,1
OT,OT2,OT_4,159,2
OT,OT2,OT_4,157,2
OT,OT2,OT_4,158,2
OT,OT2,OT_4,154,2
OT,OT2,OT_4,153,1
OT,OT2,OT_4,161,2
OT,OT2,OT_4,162,3
OT,OT2,OT_4,240,2
OT,OT2,OT_4,163,1
OT,OT2,OT_4,164,2
OT,OT2,OT_4,167,1
OT,OT2,OT_4,165,2
OT,OT2,OT_4,166,1
OT,OT2,OT_4,168,2
OT,OT2,OT_4,170,2
OT,OT2,OT_4,171,1
OT,OT2,OT_4,172,1
OT,OT2,OT_4,173,2
OT,OT2,OT_4,176,2
OT,OT2,OT_4,241,3
OT,OT2,OT_4,174,3
OT,OT2,OT_4,175,3
OT,OT2,OT_4,177,1
OT,OT2,OT_4,179,1
OT,OT2,OT_4,181,1
OT,OT2,OT_4,242,2
OT,OT2,OT_4,183,2
OT,OT2,OT_4,116,2
OT,OT2,OT_4,185,2
OT,OT2,OT_4,186,2
OT,OT2,OT_4,187,2
OT,OT2,OT_4,243,1
OT,OT2,OT_4,188,2
OT,OT2,OT_4,189,2
OT,OT2,OT_4,190,2
OT,OT2,OT_4,191,1
OT,OT2,OT_4,201,2
OT,OT2,OT_4,200,2
OT,OT2,OT_4,202,2
OT,OT2,OT_4,244,3
OT,OT2,OT_4,199,2
OT,OT2,OT_4,198,1
