date,site,month,year,season,MONTHID,TEMP_mean,TEMP_sd,TEMP_max,TEMP_min,day_range,MMM,hotspot,hotspot_above_1C,DHW_data
2022-04-01,HKS,4,2022,spring,2,26.20684722,0.805598403,27.567,24.062,3.505,28.5874,-2.380552778,0,0
2022-04-01,IT,4,2022,spring,2,26.76122222,0.765358076,27.665,25.416,2.249,28.5874,-1.826177778,0,0
2022-04-01,OT,4,2022,spring,2,27.02694444,0.862723998,28.7,25.35,3.35,28.5874,-1.560455556,0,0
2022-04-02,HK,4,2022,spring,2,24.50018056,0.726849083,25.805,23.388,2.417,28.5874,-4.087219444,0,0
2022-04-02,HKS,4,2022,spring,2,24.33034722,0.85929092,25.902,23.196,2.706,28.5874,-4.257052778,0,0
2022-04-02,IT,4,2022,spring,2,25.88634028,0.334694583,26.585,25.416,1.169,28.5874,-2.701059722,0,0
2022-04-02,OT,4,2022,spring,2,26.19465278,0.438637294,27.28,25.39,1.89,28.5874,-2.392747222,0,0
2022-04-03,HK,4,2022,spring,2,24.59304167,0.240575559,25.125,23.869,1.256,28.5874,-3.994358333,0,0
2022-04-03,HKS,4,2022,spring,2,24.41953472,0.40616895,24.931,23.1,1.831,28.5874,-4.167865278,0,0
2022-04-03,IT,4,2022,spring,2,26.01145139,0.254500851,26.488,25.708,0.78,28.5874,-2.575948611,0,0
2022-04-03,OT,4,2022,spring,2,26.31680556,0.472596833,27.02,25.22,1.8,28.5874,-2.270594444,0,0
2022-04-04,HK,4,2022,spring,2,24.0031875,0.268497502,24.545,23.388,1.157,28.5874,-4.5842125,0,0
2022-04-04,HKS,4,2022,spring,2,23.76936111,0.670697577,25.513,22.429,3.084,28.5874,-4.818038889,0,0
2022-04-04,IT,4,2022,spring,2,25.98347917,0.468927223,26.585,25.222,1.363,28.5874,-2.603920833,0,0
2022-04-04,OT,4,2022,spring,2,26.361875,0.882005795,27.58,24.92,2.66,28.5874,-2.225525,0,0
2022-04-05,HK,4,2022,spring,2,25.11531944,0.783007003,26.097,23.677,2.42,28.5874,-3.472080556,0,0
2022-04-05,HKS,4,2022,spring,2,24.91920139,1.228923115,26.585,22.621,3.964,28.5874,-3.668198611,0,0
2022-04-05,IT,4,2022,spring,2,26.82355556,0.292969646,27.37,26.39,0.98,28.5874,-1.763844444,0,0
2022-04-05,OT,4,2022,spring,2,27.54541667,0.342881404,28.35,26.98,1.37,28.5874,-1.041983333,0,0
2022-04-06,HK,4,2022,spring,2,25.11216667,0.428934181,25.805,24.351,1.454,28.5874,-3.475233333,0,0
2022-04-06,HKS,4,2022,spring,2,24.78888889,1.120147543,26.977,22.908,4.069,28.5874,-3.798511111,0,0
2022-04-06,IT,4,2022,spring,2,26.37341667,0.629000778,26.977,24.351,2.626,28.5874,-2.213983333,0,0
2022-04-06,OT,4,2022,spring,2,27.10229167,0.54902548,28.27,25.31,2.96,28.5874,-1.485108333,0,0
2022-04-07,HK,4,2022,spring,2,25.19488194,0.403960333,25.902,24.448,1.454,28.5874,-3.392518056,0,0
2022-04-07,HKS,4,2022,spring,2,24.80284028,0.980994248,26.39,23.004,3.386,28.5874,-3.784559722,0,0
2022-04-07,IT,4,2022,spring,2,25.56272222,0.297353724,26.097,25.028,1.069,28.5874,-3.024677778,0,0
2022-04-07,OT,4,2022,spring,2,26.24659722,0.46037407,27.41,25.05,2.36,28.5874,-2.340802778,0,0
2022-04-08,HK,4,2022,spring,2,24.79874306,0.438857476,25.513,24.158,1.355,28.5874,-3.788656944,0,0
2022-04-08,HKS,4,2022,spring,2,24.379875,0.979802412,25.902,23.004,2.898,28.5874,-4.207525,0,0
2022-04-08,OT,4,2022,spring,2,25.87881944,0.486229243,26.85,24.66,2.19,28.5874,-2.708580556,0,0
2022-04-09,HK,4,2022,spring,2,24.98996528,0.591758827,25.61,24.062,1.548,28.5874,-3.597434722,0,0
2022-04-09,HKS,4,2022,spring,2,24.40639583,0.934865969,25.805,22.525,3.28,28.5874,-4.181004167,0,0
2022-04-09,IT,4,2022,spring,2,25.82252083,0.476951992,26.39,25.125,1.265,28.5874,-2.764879167,0,0
2022-04-09,OT,4,2022,spring,2,26.64326389,0.544811291,27.58,25.52,2.06,28.5874,-1.944136111,0,0
2022-04-10,HK,4,2022,spring,2,26.10339583,0.255211614,26.488,25.513,0.975,28.5874,-2.484004167,0,0
2022-04-10,HKS,4,2022,spring,2,25.80170833,0.700884355,26.781,24.351,2.43,28.5874,-2.785691667,0,0
2022-04-10,IT,4,2022,spring,2,26.48829167,0.221655276,26.977,26,0.977,28.5874,-2.099108333,0,0
2022-04-10,OT,4,2022,spring,2,27.13194444,0.652354828,28.4,25.74,2.66,28.5874,-1.455455556,0,0
2022-04-11,HK,4,2022,spring,2,26.76719444,0.381149665,27.272,26.195,1.077,28.5874,-1.820205556,0,0
2022-04-11,HKS,4,2022,spring,2,26.78526389,0.655608722,28.159,25.513,2.646,28.5874,-1.802136111,0,0
2022-04-11,IT,4,2022,spring,2,26.49340278,0.334822097,27.075,25.902,1.173,28.5874,-2.093997222,0,0
2022-04-11,OT,4,2022,spring,2,27.18680556,0.351523463,27.93,26.17,1.76,28.5874,-1.400594444,0,0
2022-04-12,HK,4,2022,spring,2,26.89193056,0.089208145,27.075,26.683,0.392,28.5874,-1.695469444,0,0
2022-04-12,HKS,4,2022,spring,2,26.88449306,0.201910421,27.272,26.292,0.98,28.5874,-1.702906944,0,0
2022-04-12,IT,4,2022,spring,2,26.53541667,0.294611977,27.075,26,1.075,28.5874,-2.051983333,0,0
2022-04-13,HK,4,2022,spring,2,26.96817361,0.419223046,27.468,26.39,1.078,28.5874,-1.619226389,0,0
2022-04-13,HKS,4,2022,spring,2,27.058375,0.517887707,27.764,26.195,1.569,28.5874,-1.529025,0,0
2022-04-13,IT,4,2022,spring,2,26.66326389,0.374143348,27.075,25.222,1.853,28.5874,-1.924136111,0,0
2022-04-13,OT,4,2022,spring,2,27.98759028,0.513349925,29.252,26.977,2.275,28.5874,-0.599809722,0,0
2022-04-14,HK,4,2022,spring,2,27.42108036,0.252398374,27.862,26.977,0.885,28.5874,-1.166319643,0,0
2022-04-14,HKS,4,2022,spring,2,27.47598611,0.280541384,28.06,26.683,1.377,28.5874,-1.111413889,0,0
2022-04-14,IT,4,2022,spring,2,26.34530556,0.257579244,26.781,25.61,1.171,28.5874,-2.242094444,0,0
2022-04-14,OT,4,2022,spring,2,27.31228472,0.356096154,27.961,26.39,1.571,28.5874,-1.275115278,0,0
2022-04-15,HKS,4,2022,spring,2,26.4855625,0.790923155,28.159,24.641,3.518,28.5874,-2.1018375,0,0
2022-04-15,IT,4,2022,spring,2,26.51296528,0.290398795,27.075,26.097,0.978,28.5874,-2.074434722,0,0
2022-04-15,OT,4,2022,spring,2,27.5944375,0.342873251,28.456,26.879,1.577,28.5874,-0.9929625,0,0
2022-04-16,HKS,4,2022,spring,2,25.47591667,0.789072559,26.683,24.158,2.525,28.5874,-3.111483333,0,0
2022-04-16,IT,4,2022,spring,2,26.38000694,0.287967255,26.879,25.902,0.977,28.5874,-2.207393056,0,0
2022-04-16,OT,4,2022,spring,2,27.17348611,0.509680758,28.06,26.292,1.768,28.5874,-1.413913889,0,0
2022-04-17,HKS,4,2022,spring,2,25.03603922,0.658947314,26.39,23.966,2.424,28.5874,-3.551360784,0,0
2022-04-17,IT,4,2022,spring,2,26.41248611,0.545651352,27.272,25.513,1.759,28.5874,-2.174913889,0,0
2022-04-17,OT,4,2022,spring,2,27.20772917,0.691770013,28.357,25.902,2.455,28.5874,-1.379670833,0,0
2022-04-18,IT,4,2022,spring,2,26.93701389,0.916498788,28.159,23.869,4.29,28.5874,-1.650386111,0,0
2022-04-18,OT,4,2022,spring,2,28.11959722,1.096590707,30.255,24.738,5.517,28.5874,-0.467802778,0,0
2022-04-19,IT,4,2022,spring,2,26.66647222,0.559608329,27.468,25.028,2.44,28.5874,-1.920927778,0,0
2022-04-19,OT,4,2022,spring,2,27.686125,0.704279485,29.053,24.545,4.508,28.5874,-0.901275,0,0
2022-04-20,IT,4,2022,spring,2,26.05993056,0.499240271,26.683,25.222,1.461,28.5874,-2.527469444,0,0
2022-04-20,OT,4,2022,spring,2,27.36863889,0.65586575,28.754,26.39,2.364,28.5874,-1.218761111,0,0
2022-04-21,IT,4,2022,spring,2,26.96246528,0.857686814,27.961,23.292,4.669,28.5874,-1.624934722,0,0
2022-04-21,OT,4,2022,spring,2,28.218875,1.125275095,30.963,24.062,6.901,28.5874,-0.368525,0,0
2022-04-22,IT,4,2022,spring,2,27.21240972,0.508644,28.159,26,2.159,28.5874,-1.374990278,0,0
2022-04-22,OT,4,2022,spring,2,27.98998611,1.015836374,30.558,25.805,4.753,28.5874,-0.597413889,0,0
2022-04-23,HK,4,2022,spring,2,27.20770139,0.266715062,27.567,26.781,0.786,28.5874,-1.379698611,0,0
2022-04-23,HKS,4,2022,spring,2,27.27750694,0.373915831,27.764,26.585,1.179,28.5874,-1.309893056,0,0
2022-04-23,IT,4,2022,spring,2,26.99934722,0.605802921,27.862,25.222,2.64,28.5874,-1.588052778,0,0
2022-04-23,OT,4,2022,spring,2,27.96374306,0.802565665,30.154,26.39,3.764,28.5874,-0.623656944,0,0
2022-04-24,HK,4,2022,spring,2,27.78254167,0.297786916,28.159,27.272,0.887,28.5874,-0.804858333,0,0
2022-04-24,HKS,4,2022,spring,2,27.880125,0.379435371,28.456,27.37,1.086,28.5874,-0.707275,0,0
2022-04-24,IT,4,2022,spring,2,26.78897917,0.740840833,27.862,23.869,3.993,28.5874,-1.798420833,0,0
2022-04-24,OT,4,2022,spring,2,27.65521528,1.099446181,29.853,24.931,4.922,28.5874,-0.932184722,0,0
2022-04-25,HK,4,2022,spring,2,27.42192361,0.219152758,27.961,26.879,1.082,28.5874,-1.165476389,0,0
2022-04-25,HKS,4,2022,spring,2,27.53200694,0.227316744,27.862,27.075,0.787,28.5874,-1.055393056,0,0
2022-04-25,IT,4,2022,spring,2,27.44254861,0.799200972,28.357,25.708,2.649,28.5874,-1.144851389,0,0
2022-04-25,OT,4,2022,spring,2,28.79732639,1.065750688,31.064,26,5.064,28.5874,0.209926389,0,0
2022-04-26,HK,4,2022,spring,2,27.8344375,0.455545515,28.655,27.173,1.482,28.5874,-0.7529625,0,0
2022-04-26,HKS,4,2022,spring,2,27.95820833,0.538627352,29.053,27.272,1.781,28.5874,-0.629191667,0,0
2022-04-26,IT,4,2022,spring,2,27.65215972,0.425865382,28.258,26.39,1.868,28.5874,-0.935240278,0,0
2022-04-26,OT,4,2022,spring,2,29.03750694,0.83033707,30.76,26.977,3.783,28.5874,0.450106944,0,0
2022-04-27,HK,4,2022,spring,2,28.68588889,0.483350922,29.853,27.862,1.991,28.5874,0.098488889,0,0
2022-04-27,HKS,4,2022,spring,2,28.97077778,0.676330478,30.255,27.961,2.294,28.5874,0.383377778,0,0
2022-04-27,IT,4,2022,spring,2,27.64284028,0.519568402,28.357,25.805,2.552,28.5874,-0.944559722,0,0
2022-04-27,OT,4,2022,spring,2,28.39479861,1.022725008,30.558,25.708,4.85,28.5874,-0.192601389,0,0
